oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
asyāṃ pṛthivyāṃ hi yasmātsarvaṃ sthāvaraṃ jaṅgamaṃ ca bhūtaṃ pratiṣṭhitametāmeva pṛthivīṃ nātiśīyate nātivartata ityetat /	Because all that existsanimate as well as inanimate,rests upon this Earth; it does not go beyond this;that is, it has no existence apart from it
yathā gānatrāṇābhyāṃ bhūtasambandho gāyatryā evaṃ bhūtapratiṣṭhānādubhūtasambaddhā pṛthivyato gāyatrī pṛthivī //	Just as the connection of the Gāyatrī with all things is due to its singing and protecting, in the same manner the Earth is connected with all things, because all things rest upon it; in this way Gāyatrī is the Earth
yā vai sā pṛthivīyaṃ vāva sā yad idam asmin puruṣe śarīram /	That which is Earth is verily that which is the Body in Man;
etad eva nātiśīyante //	it is on this that the Vital Airs rest and they do not go beyond it
yā vai sā pṛthivī gāyatrīyaṃ vāva sedameva / tatkiṃ, yadidamasminpuruṣe kāryakāraṇasaṅghāte jīvati śarīraṃ pārthivatvāccharīrasya /	That which is the Earthand Gāyatrīis thatWhat is it?It is that which, in living man,as representing an aggregate of causes and effectsis the body; this Body being constituted of Earth
kathaṃ śarīrasya gāyatrītvamiti /	In what way is the Body, the Gāyatrī?
ucyateasminhīme prāṇā bhūtaśabdavācyāḥ pratiṣṭhitāḥ /	Answer It is on this that rest all these Vital Airsknown by the name ‘Bhūta’ ‘Beings
ataḥ pṛthivīvadbhūtaśabdavācyaprāṇapratiṣṭhānāccharīraṃ gāyatrī / etadeva yasmāccharīraṃ nātiśīyante prāṇāḥ //	Thus, inasmuch as, like the Earth, the Body is the resting place of Vital Airs called by the name ‘Beings’,the Body is the Gāyatrī also, because these Vital Airs do not go beyond this Body
yad vai tat puruṣe śarīram idaṃ vāva tad yad idam asminn antaḥ puruṣe hṛdayam /	That which is the Body in Man is that which is the Heart within the Man
asmin hīme prāṇāḥ pratiṣṭhitāḥ /	Because it is therein that the Vital Airs rest;
etad eva nātiśīyante //	and they do not go beyond it
yadva tatpuruṣe śarīraṃ gāyatrīdaṃ vāva tat / yadidamasminnantarmadhye puruṣe hṛdayaṃ puṇḍarīkākhyametadgāyatrī /	That which is the Body in manwhich is Gāyatrī,is that which, within the Man, is the Heart, known by the name of ‘Puṇḍarīka’, ‘white lotus’; and this is Gāyatrī
kathamityāhaasminhīme prāṇāḥ pratiṣṭhitā ataḥ śarīravadgāyatrī hṛdayam / etadeva ca nātiśīyante prāṇāḥ /	How?Because it is therein that the Vital Airs rest; hence like the Body, the Heart, is Gāyatrī, and this it is beyond which the Vital Airs do not go
prāṇo ha pitā / prāṇo mātā / iti,ahiṃsansarvabhūtāniiti ca śruterbhūtaśabdavācyāḥ prāṇāḥ //	That the Vital Airs are meant to be denoted by the term ‘Bhūta’, ‘being’, is indicated by such Vedic Texts as‘The Vital Air is father, the Vital Air is mother’,‘Not injuring any beings’ etc
saiṣā catuṣpadā ṣaḍvidhā gāyatrī / tad etad ṛcābhyanūktam //	This Gāyatrī is fourfooted and sixfold;this has been thus declared in the following verse
saiṣā catuṣpadā ṣaḍakṣarapadā chandorūpā satī bhavati gāyatrī ṣaḍvidhā vāgbhūtapṛthivīśarīrahṛdayaprāṇarūpā satī ṣaḍvidhā bhavati	This Gāyatrī, in the form of the metre, being fourfooted,each of the four feet consisting of six letters,is sixfold; ie, it becomes sixfold,in the form of Speech, Being, Earth, Body, Heart and Vital Airs
vākprāṇayoranyārthanirdiṣṭayorapi gāyatrīprakāratvam /	Though Speech and Vital Airs have been spoken of as something else, yet these also are forms of Gāyatrī;
anyathā ṣaḍvidhasaṃkhyāpūraṇānupapatteḥ /	otherwise the number six would not be completed
tadetasminnartha etadgīyatryākhyaṃ brahma gāyatryanugataṃ gāyatrīmukhenoktamṛcāpi mantreṇābhyanūktaṃ prakāśitam //	This same idea,that the Brahman named ‘Gāyatrī’ is represented by the Gāyatrīwhich has been just expounded through the Gāyatrī,has also been declaredexpressed,in the following verseMantraText
tāvān asya mahimā tato jyāyāṃś ca puruṣaḥ /	‘Such is His Greatness; greater than that is Puruṣa the Ensouling Entity;
pādo 'sya sarvā bhūtāni tripād asyāmṛtaṃ divīti //	all beings are His foot; He is the threefooted immortal, in its Heaven
tāvānasya gāyatryākhyasya brahmaṇaḥ samastasya mahimā vibhūtivistāraḥ /	Of the whole Brahman named Gāyatrī, such is the greatnessmajesty, extensive grandeur;
yāvāṃścatuṣpātṣaḍvidhaśca brahmaṇo vikāraḥ pādo gāyatrīti vyākhyātaḥ /	ie, the greatness that has been described by the mention of the fact that Gāyatrī is the ‘Foot’ of Brahman evolving out of Brahman, fourfooted and sixfold
atastasmādvikāralakṣaṇādgāyatryākhyādvācārambhaṇamātrāttato jyāyānmahattaraśca paramārthasatyarūpo 'vikāraḥ pūruṣaḥ puruṣaḥ sarvapūraṇātpuri śayanācca / tasyāsya pādaḥ sarvā sarvāṇi bhūtāni tejobannādīni sasthāvarajaṅgamāni /	Greater than that,ie vaster than the said named ‘Gāyatrī’, which is a mere product of Speech, is the Puruṣa, which is essentially real and unchangeable; this Puruṣa being so called because He fills ie pervades all Pūraṇāt and because He lies within the body Puri śayanāt;of this latter, all beings are the foot, all such beings as light, water, food and the rest, both animate and inanimate
tripāttrayaḥ pādā asya so 'yaṃ tripāt / tripādamṛtaṃ puruṣākhyaṃ samastasya gāyatryātmano divi dyotanavati svātmanyavasthitamityartha iti //	He is the threefooted,that which has three feet,is immortalcalled ‘Puruṣa’in its Heaven,resting in the Heaven of what forms the entire Gāyatrī; it is called ‘Heaven’‘dyaus’because it is resplendent The meaning is that it rests within itself
yad vai tad brahmetīdaṃ vāva tad yo 'yaṃ bahirdhā puruṣād ākāśaḥ /	That which is that Brahman, this indeed is that which is the Ākāśa outside the Puruṣa;the Ākāśa, outside the Puruṣa
yadvai tat tripādamṛtaṃ gāyatrīmukhenoktaṃ brahmetīdaṃ vāva tadidameva / tadyo 'yaṃ prasiddho bahirdhā bahiḥ puruṣādākāśo bhautiko yo vai sa bahirdhā puruṣādākāśa uktaḥ //	That Brahman which is the threefooted immortalwhich has been described through the Gāyatrī,is indeed this, which is known as the Ākāśa outside the Puruṣa,ie the elemental substance Ākāśa which lies outside the Puruśa
ayaṃ vāva sa yo 'yam antaḥ puruṣa ākāśaḥ / yo vai so 'ntaḥ puruṣa ākāśaḥ //	This indeed is that Ākāśa which lies within the Puruṣa,that Ākāśa which lies within the Puruṣa
ayaṃ vāva sa yo 'yamantaḥ puruṣe śarīra ākāśo yo vai so 'ntaḥ puruṣa ākāśaḥ //	This indeed is that Ākāśa which lies within the Puruṣa,ie, inside the body,that Ākāśa which lies within the Puruṣa
ayaṃ vāva sa yo 'yam antarhṛdaya ākāśaḥ /	This indeed is that Ākāśa which is in the heart;
tad etat pūrṇam apravarti /	this is complete, unmoving;
pūrṇam apravartinīṃ śriyaṃ labhate ya evaṃ veda //	one who knows thus obtains complete and unmoving prosperity
ayaṃ vāva sa yo 'yamantarhṛdaye hṛdayapuṇḍarīka ākāśaḥ /	This indeed is that Ākāśa which is in the heart,in the lotus of the heart
kathamekasya sata ākāśasya tridhā bheda iti /	QuestionHow can Ākāśa, which is one only, have three divisions as described in the last three texts?
ucyatebāhyendriyaviṣaye jāgaritasthāne nabhasi duḥkhabāhulyaṃ dṛśyate / tato 'ntaḥśarīre svapnasthānabhūte mandataraṃ duḥkhaṃ bhavati svapnānpaśyataḥ /	Answera In that Ākāśa which is perceptible by the external senseorgan ear, and is the sphere of waking consciousness, we find an excess of suffering and pain b Slightly less than this amount of suffering and pain is the amount of pain found in the Ākāśa within the body, which is the sphere of Dreamcognition, while the man is going through the dreamexperiences
hṛdayasthe punarnabhasi na kañcana kāmaṃ kāmayate na kañcana svapnaṃ paśyati /	c In that Ākāśa which lies within the heart one does not desire any desires, and does not dream any dreams;
ataḥ sarvaduḥkhanivṛttirūpamākāśaṃ suṣuptasthānam /	hence this Ākāśa, which represents the cessation of all suffering and pain, constitutes the sphere of deep sleep
ato yuktamekasyāpi tridhā bhedānvākhyānam /	In its way, it is only right that one and the same Ākāśa should be described in three forms
bahirdhā puruṣādārabhyā'kāśasya hṛdaye saṅkocakaraṇaṃ cetaḥsamādhānasthānastutaye /	Beginning with the Ākāśa outside the Puruṣa, the Text has gradually contracted the sphere of the Ākāśa to within the Heart,for the purpose of eulogising the spot on which the mind is to be concentrated;
yathātrayāṇāmapi lokānāṃ kurukṣetraṃ viśiṣyate / ardhatastu kurukṣetramardhatastu pṛthūdakamiti tadvat /	just as we find in such texts as‘In all the three regions Kurukṣetra is marked out as the best place, half of it is Kurukṣetra and half is Pṛthūdaka’
tadetaddhārdākāśākhyaṃ brahma pūrṇaṃ sarvagataṃ na hṛdayamātraparicchinnamiti mantavyam / yadyapi hṛdayākāśe cetaḥ samādhīyate 'pravarti na kutaścitkvacitpravartituṃ śīlamasyetyapravarti tadanucchittidharmakam /	This Brahman, known as ‘the Ākāśa in the Heart’ is complete,ie it should be regarded as omnipresent, not limited within the Heart, though it is true that the Mind is concentrated in the Heart;it is unmoving;ie by its very nature it is incapable of moving anywhere or under any influence;
yathānyāni bhūtāni paricchinnānyucchittidharmakāṇi na tathā hārdaṃ nabhaḥ /	ie by its nature it is unperishable As a matter of fact, Ākāśa in the Heart is not limited and perishable as the other elemental substances are
pūrṇāmapravartinīmanucchedātmikāṃ śriyaṃ vibhūtiṃ guṇaphalaṃ labhate dṛṣṭaṃ ya evaṃ yathoktaṃ pūrṇāpravartiguṇaṃ brahma veda jānātīhaiva jīvaṃstadbhāvaṃ pratipadyata ityarthaḥ //	He obtains complete and unmovingimperishableprosperity, glory, as the visible reward of his qualification, who knows the said Brahman complete and unmoving; that is, even during this very life, he becomes merged in that Brahman
tasya ha vā etasya hṛdayasya pañca devasuṣayaḥ /	End of Section of Discourse In that Heart, there are five divine holes;
sa yo 'sya prāṅ suṣiḥ sa prāṇaḥ / tac cakṣuḥ /	that which is its Eastern Hole is Prāṇa, it is the Eye, it is the Sun
tad etat tejo 'nnādyam ity upāsīta /	One should meditate upon this, as light, water and food;
tejasvy annādo bhavati ya evaṃ veda //	one who knows this becomes resplendent and Eater of Food
tasya ha vā ityādinā gāyatryākhyasya brahmaṇa upāsanāṅgatvena dvārapālādiguṇavidhānārthamārabhyate /	With the words ‘In that Heart etc,’ the text proceeds to describe the gates, results and other details as forming part of the meditation of Brahman called ‘Gāyatrī’
yathā loke dvārapālā rājña upāsanena vaśīkṛtā rājaprāptyarthā bhavanti tathehāpīti /	In the ordinary world, when the Gatekeepers of the King, on being won over, help a person desiring to see the King to approach the King;
tasyeti prakṛtasya hṛdayasyetyarthaḥ / etasyānantaranirdiṣṭasya pañca pañcasaṃkhyākā devānāṃ suṣayo devasuṣayaḥ svargalokaprāptidvāracchidrāṇi	If that,ie if the Heart, which forms the subjectmatter of the context‘etasya’ stands for what is mentioned next;there are fivein numberdivine holes,ie the ‘holes of Deities’; these are the holes which serve as gates through which persons, proceed to the celestial regions;
deveḥ prāṇādityādibhī rakṣyamāṇānītyato devasuṣayastasya svargalokabhavanasya hṛdayasyāsya	and these holes are guarded by Prāṇa lifebreath, Āditya Sun and other divinities; hence they are called ‘Divine holes’
yaḥ prāṅsuṣiḥ pūrvābhimukhasya prāggataṃ yacchidraṃ dvāraṃ sa prāṇastatsthastena	Of this Heart, which is the Palace of the Regions, that which is the Eastern Hole,ie the holegate towards the East where the person is standing facing the East,is the Lifebreath, Prāṇa;
dvāreṇa yaḥ sañcarati vāyuviśeṣaḥ sa prāganitīti prāṇaḥ /	located therein, it is so called because the air breath that passes through that hole moves eastward prāganitiPrāṇiti
tenaiva sambaddhamavyatiriktaṃ taccakṣustathaiva sa ādityaḥādityo ha vai bāhyaḥ prāṇaḥiti śruteścakṣūrūpapratiṣṭhākrameṇa hṛdi sthitaḥ /	this Prāṇa resides in the Heart, in the order of Eye, Colour and Residence [the Sun residing in the Eye, the Eye apprehending Colour and hence residing therein; and thus the Lifebreath is the same as the Eye
sa ādityaḥ kasminpratiṣṭhita iti cakṣuṣiityādi hi vājasaneyake /	says Ānandagiri]; all this is thus stated in the Vājasaneyaka the Bṛhadāraṇyaka Upaniṣad in the words‘Wherein does the Sun reside In the Eye’ and so on
prāṇavāyudevataiva hyekā cakṣurādityaśca sahā'śrayeṇa /	The one Divinity of the Lifebreath is the eye as well as the sun along with their substrates
