.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
prāṇātyaye 'pi tu na sādhujanaḥ svavṛttiṃ velāṃ samudra iva laṅghayituṃ samarthaḥ //	But the virtuous, even when in danger of life, are as little capable of transgressing their proper line of conduct as the Ocean its boundary.
tadevaṃ devarājyaṃ prāṇānapi parityajya dīrgharātraṃ paripālitāni bhagavatā sattvāni /	[In this way the Lord did long ago protect animal life even at the risk of his own and of the loss of the Celestial sway.
teṣviha prājñasyāghāto na yuktarūpaḥ prāgeva vipatipattiriti prāṇiṣu dayāyattenāryeṇa bhavitavyam /	Keeping then in mind that it does not at all befit a wise man to offend living beings, much less to sin against them, a pious man must be intent on practising compassion towards the creatures..
tathā hi dharmo ha vai rakṣati dharmacāriṇamityatrāpyunneyam / tathāgatavarṇe satkṛtyadharmaśravaṇe ceti //	, and the other passages quoted there): Dhammo have rakkhati dhammacārim Dhammo sucinṇo sukham āvahāti Esānisaṁso dhamme suciņne Na duggatim gacchati dhammacāri..
iti śakrajātakamekādaśam //	This will be taught by the following.
12 brāhmaṇajātakam /	Once the Bodhisattva, it is told, came to life in an illustrious family of Brāhmans, well-reputed both on account of their ancestry and their conduct.
pratigrahakṛśopāyaṃ viprāṇāṃ hi dhanārjanam /	The state of a moneyless man is the home of disregard, the abode of toil.
apradātā janaścāyamityagatyā hatā vayam //	But he said to them: Good sirs, do not exert yourselves in this way.
adhyāpaka uvāca- santyanye 'pi śāstraparidṛṣṭa dhanarjanopāyāḥ / jarāniṣpītasāmarthyāstu vayamayogyarūpāstatpratipattau /	But the case is this.. So we are powerless, and by this impotency we are smitten with grief. The teacher replied: But there are still other expedients for earning money, and they are explained in the law-books.
śiṣyā ūcuḥ-vayamupādhyāya jarayānupahataparākramāḥ / tadyadi nasteṣāṃ śāstravihitānāmupāyānāṃ pratipattisahatāṃ manyase, taducyatām / yāvadadhyāpanapariśramasyānṛṇyaṃ te gacchāma iti /	If, then, you think us capable of acting upon those precepts of the law books, inform us of them, that we may requite you for your labour of teaching us. The teacher said: No, such means of earning money are hardly available, indeed, for young men, whose mind is too loose to carry out a strong resolution.
yadi tvayamatrabhavatāṃ nirbandhaḥ, tacchrūyatāṃ sādhuḥ katama eko dhanopārjanakramaḥ-	Nevertheless, if Your Honours urge me, well, you may learn from me what one of the said expedients is.
āpaddharmaḥ steyamiṣṭaṃ dvijānāmāpaccāntyā niḥsvatā nāma loke /	In the law-precepts for the time of distress theft is an approved livelihood for Brahmans; and poverty, suppose, is the extreme distress in this world.
tasmādbhojyaṃ svaṃ pareṣāmaduṣṭaiḥ	Consequently, it is no sin for us to Instead of sādhuḥ we must read sādhu.
sarvaṃ caitadbrahmaṇānāṃ svameva //	The permission to Brāhmans to make money by theft is of course not lawful; it is inferred from the well-known pretension of the Brāhmanical caste to be owners of the whole earth.
kāmaṃ prasahyāpi dhanāni hartuṃ	Men such as you, would doubtlessly be able to seize on wealth even by violence.
na tveṣa yogaḥ śvayaśo hi rakṣyaṃ	You should, however, not practise that mode of taking, minding your reputation.
śūnyeṣu tasmādvyavaseyameva //	Therefore, you must show your energy in lonely places and times. By such language he loosened the bridle from his disciples.
iti muktapragrahāstena te chātrāḥ paramamiti tattasya vacanamayuktamapi yuktamiva pratyaśrauṣuranyatra bodhisattvāt /	Accordingly they exclaimed Very well, approving his bad words, as if they were good, and all of them engaged themselves to do so, all save the Bodhisattva.
sa hi prakṛtibhadratvāttannotsehe 'numoditum / kṛtyavatpratipannaṃ tairvyāhantuṃ sahasaiva tu //	Him his innate goodness forbade to comply with the teacher's advice, and compelled him on the contrary to oppose it without delay, though it had been accepted as a duty by the other pupils.
vrīḍāvanatavadanastu bodhisattvo mṛdu viniśvasya tūṣṇīmabhūt /	Ashamed and with downcast looks he heaved a soft sigh and remained silent.
amī dvijā madvyasanāsahiṣṇavaḥ samāśritā vīramanuṣyapaddhatim / bhavānanutsāhajaḍastu labhyate na nūnamasmadvyasanena tapyate //	Those twice-born men, incapable of bearing my misfortune, are willing to resort to the course of life followed by the energetic and the heroes; but in you find nothing but indolence and dullness. Surely, it is not you who are affected by our distress..
pariprakaśe 'pyanigūḍhavistare mayātmaduḥkhe vacasā vidarśite /	My suffering is evident. Its whole extent lies open to your eyes. have made it plain by speech.
kathaṃ nu niḥsaṃbhramadīnamānaso bhavāniti svasthavadeva tiṣṭhati // atha bodhisattvaḥ sasaṃbhramo 'bhivādyopādhyāyamuvāca-śāntaṃ pāpam / na khalvahaṃ niḥsnehakaṭhinahṛdayatvādaparitapyamāno guruduḥkhairevamavasthitaḥ, kiṃ tvasaṃbhavādupādhyāyapradarśitasya kramasya /	Notwithstanding this, you are keeping quiet! How is it that your mind is undisturbed and untouched by sorrow? Upon this the Bodhisattva, after making his respectful salute to the teacher, said quite alarmed: Heaven forbid such feelings! Verily, it is not want of affection or hard-heartedness which causes me to keep apart, nor am unmoved by the sufferings of my teacher, but think the mode of acting which my master has shown us, cannot be put into practice.
na hi śakyamadṛśyamānena kvacitpāpamācaritum /	It is impossible, indeed, to commit a wicked action without being seen.
kutaḥ? raho 'nupapatteḥ /	Why? Because there does not exist anything like loneliness.
nāsti loke raho nāma pāpaṃ karma prakurvataḥ /	No, loneliness is not to be found anywhere in the world for the evildoer.
adṛśyāni hi paśyanti nanu bhūtāni mānuṣān // kṛtātmānaśca munayo divyonmiṣitacakṣuṣaḥ / tānapaśyan rahomānī bālaḥ pāpe pravartate //	Are not the invisible Beings and the purified Munis, whose eye is endowed with divine power, lookers-on of men's actions? Not seeing them, the fool thinks himself alone and commits sin..
ahaṃ punarna paśyāmi śūnyaṃ kvacana kiṃcana / yatrāpyanyaṃ na paśyāmi nanvaśūnyaṃ mayaiva tat //15 /	But know no lonely place at all. Wheresoever do not see anybody else, is such a place for that reason empty of my own Self?,.
rāgārpitaikāgramatiḥ svayaṃ tu pāpaṃ prakurvanniyamena vetti //	And of a bad action my Self is a witness far more sharp sighted than any other person. Bombay),,..
tadanena kāraṇenāhamevaṃ vyavasthita iti / atha bodhisattvaḥ samabhiprasāditamanāsmupādhyāyamavetya punaruvāca-	For this reason, then, keep aloof from the others. And understanding that his teacher was fully appeased, the Bodhisattva continued:.
na cātra me niścayameti mānasaṃ dhanārthamevaṃ prataredbhavānapi /	Nor can persuade myself into the belief that you would deceive us in this way for the sake of obtaining wealth.
avetya ko nāma guṇāguṇāntaraṃ guṇopamardaṃ dhanamūlyatāṃ nayet // svābhiprāyaṃ khalu nivedayāmi-	Who, indeed, knowing the difference between virtue and vice, would allow himself to be seduced by the pursuit of wealth to oppression of virtue? As to my own determination, will inform you of it.
kapālamādāya vivarṇavāsasā varaṃ dviṣadveśmasamṛddhirīkṣitā / vyatītya lajjāṃ na tu dharmavaiśase surendratārthe 'pyupasaṃhṛtaṃ manaḥ // atha tasyopādhyāyaḥ praharṣavismayakṣiptahṛdaya utthāyāsasnātsaṃpariṣvajyainamuvāca-sādhu sādhu putraka / sādhu sādhu mahābrāhmaṇa / pratirūpametatte praśamālaṃkṛtasyāsya medhāvikasya /	Better is it to take the almsbowl and vile garments, beholding the opulence of the mansions of one's enemies, than to bend one's mind shamelessly to the murder of Righteousness, be it even with the goal of attaining the Sovereignty of the Devas! At these words his teacher rapt with joy and admiration, rising from his seat, embraced him, and said to him: Very well, very well, my son! well-said, well-said, noble Brāhman! This is becoming to your keen intellect adorned by tranquillity.
nimittamāsādya yadeva kiṃcana svadharmamārgaṃ visṛjanti bāliśāḥ / tapaḥ śrutajñānadhanāstu sādhavo na yānti kṛcchre parame 'pi vikriyām //	Fools leave the path of duty, stirred by any motive whatever, but the virtuous do not allow themselves to be led astray even in the greatest distress; penance, learning, and wisdom being their wealth.
tvayā kulaṃ samamalamabhyalaṃkṛtaṃ samudyatā nabha iva śāradendunā /	As the moon rising in autumn adorns the firmament, so you are the ornament of your entirely spotless family.
tavārthavatsucaritaviśrutaṃ śrutaṃ sukhodayaḥ saphalatayā śramaśca me //	For you the.
tadevamātmalajjayaiva satpuruṣā nācāravelāṃ laṅghayantīti hrībalenāryeṇa bhavitavyam /	[For this reason the pious man (ārya) ought to have a powerful shelter in shame.
evaṃ hrīparikhāsaṃpanna āryaśrāvako 'kuśalaṃ prajahāti kuśalaṃ ca bhāvaytītyevamādiṣu sūtreṣūpaneyam / hrīvarṇapratisaṃyukteṣu lokādhipateyeṣu ceti //	, ), the old teacher's trial of his disciples is better accounted for. The same term is used at the conclusion of Story.. ; Fausböll, -) Even when sick with heavy sorrow, the virtuous are disinclined to follow the road of the low-minded, being prevented from such actions by the firmness of their constancy.
iti brāhmaṇajātakaṃ dvādaśam //	This will be taught as follows.
13 unmādayantījātakam /	Compare the note on Story [, ]..
tadānanodvīkṣaṇaniścalākṣā manobhuvā saṃhriyamāṇadhairyāḥ /	With all his heart he delighted in the path of righteousness, and did not allow others to violate its precepts.
anīśvarā locanamānasānāmāsurmadeneva viluptasaṃjñāḥ //	And for this reason her relations called her Unmadayanti (she who makes mad).
yada ca naiva śaknuvanti sma pratisaṃkhyānadhīranibhṛtamavasthātuṃ kuta eva bhoktum / athaiṣāṃ cakṣuṣpathādutsārya svāṃ duhitaraṃ sa gṛhapatiḥ svayameva brāhmaṇān pariveṣya visarjayāmāsa /	The father of Unmādayantī led them to his house, and ordered his daughter to attend upon his guests herself. She said she would do so, and commenced to attend upon them at table in the proper manner. But no sooner did those Brāhmans. Behold her, than their eyes were compelled to remain closely fixed on her face.
atha teṣāṃ buddhirabhavat-kṛtyārūpamiva khalvidamatimanoharamasyā dārikāyā rūpacāturyam /	And they considered thus: The lovely beauty of that maiden is, in truth, of an exceedingly enchanting nature, it acts like a very magic spell.
yato naināṃ rājā draṣṭumapyarhati, kutaḥ punaḥ patnītvaṃ gamayitum /	For this reason it is not suitable for the king to see her, much less to make her his queen.
anayā hi rūpaśobhayā niyatamasyonmāditahṛdayasya dharmārthakāryapravṛttervisrasyamānotsāhasya rājakāryakālātikramāḥ prajānāṃ hitasukhodayapathamupapīḍayantaḥ parābhavāya syuḥ /	Having grown mad by her splendid beauty, as he doubtless would, he would abate his zeal for performing his religious and political duties, and his neglect of duly observing his royal occupations would prove of evil consequence to his subjects, inasmuch as it would obstruct the sources of their profit and welfare.
iyaṃ hi saṃdarśanamātrakeṇa kuryānmunīnāmapi siddhivighnam / prāgeva bhāvārpitadṛṣṭivṛṣṭeryūnaḥ kṣitīśasya sukhe sthitasya //	The sight of her would be sufficient to put an obstacle in the way even of Munis striving after perfect wisdom, how much more may it obstruct the success of a young prince, who lives in pleasure, and is in the habit of directing his looks to the objects of sense.
tasmādidamatra prāptakālamiti yathāprastāvamupetya rājñe nivedayāmāsuḥ-dṛṣṭāsmābhirmahārāja sā kanyakā /	Therefore it is now suitable to act so and so. Having thus made up their mind, they went to the king's presence at a convenient time and reported this to him: We have seen that maiden, great king.
